country,file,type,title,page,reform_area,benchmark,due_date,status,table_title
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,I. Staff Assessment of High Combined Credit Exposure (HCCE) Criteria,55,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,II. Status of Implementation of Key Recommendations from 2019 Article IV Consultations,56,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,III. Risk Assessment Matrix (RAM),58,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,IV. External Sector Assessment,59,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,V. The Interest-to-Tax Revenue Ratio as a Guide for Fiscal Policy,64,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,VI. Benin’s Access to Capital Markets: Opportunities and Risks,66,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,VII. Scaling Up Benin’s Social Safety Nets,73,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,VIII. Vulnerability to Climate Change and National Strategy,78,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Annex,IX. Capacity Building and Technical Assistance Framework,81,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,1. Use of SDR Allocation,15,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,2. Estimating Benin’s Potential Growth,17,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,3. The Authorities’ Civilian Approach to Security Risks,20,,,,,
BEN,BEN_2022_EFF_ECF_Request_Article_IV_Combined.pdf,Box,4. Partial Passthrough and Fuel Subsidies Associated with the War in Ukraine,25,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,I. Risk Assessment Matrix (RAM),41,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,II. Staff Assessment of High Combined Credit Exposure (HCCE) Criteria,42,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,III. Benin—Fuel Subsidies: Costly and Regressive,44,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Annex,IV. Understanding Recent Inflation Developments in Benin,49,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Box,1. Fiscal safeguards review (FSR): Key Findings and Recommendations,14,,,,,
BEN,BEN_2022_EFF_ECF_Review1_Standalone_Post-Combined_1.pdf,Structural Benchmark,"Table 11: Structural Benchmarks, 2022-23 (Concluded)",102,,Governance and Transparency Conduct and publish a governance diagnostic.,,,"Table 11: Structural Benchmarks, 2022-23 (Concluded)"
